Module                  Size  Used by
videobuf2_common       77824  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
bluetooth             704512  14 btrtl,btintel,btbcm,bnep,btusb,rfcomm
cfg80211              974848  2 rtw88_core,mac80211
videodev              258048  3 videobuf2_v4l2,uvcvideo,videobuf2_common
serio_raw              20480  0
snd                   106496  19 snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_timer,snd_compress,snd_soc_core,snd_pcm,snd_rawmidi
processor_thermal_rapl    20480  1 processor_thermal_device
mei_me                 40960  1
intel_rapl_common      40960  2 intel_rapl_msr,processor_thermal_rapl
ecdh_generic           16384  1 bluetooth
mc                     65536  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
libarc4                16384  1 mac80211
ecc                    36864  1 ecdh_generic
mei                   135168  3 mei_hdcp,mei_me
hid_multitouch         32768  0
intel_soc_dts_iosf     20480  1 processor_thermal_device_pci_legacy
soundcore              16384  1 snd
mac_hid                16384  0
int3403_thermal        20480  0
int3400_thermal        20480  0
acpi_thermal_rel       16384  1 int3400_thermal
int340x_thermal_zone    20480  2 int3403_thermal,processor_thermal_device
wireless_hotkey        16384  0
acpi_pad              184320  0
acpi_tad               20480  0
sch_fq_codel           20480  1
msr                    16384  0
parport_pc             49152  0
ppdev                  24576  0
lp                     28672  0
parport                69632  3 parport_pc,lp,ppdev
efi_pstore             16384  0
ip_tables              32768  0
x_tables               53248  1 ip_tables
autofs4                49152  2
hid_logitech_hidpp     49152  0
btrfs                1564672  0
blake2b_generic        20480  0
xor                    24576  1 btrfs
zstd_compress         229376  1 btrfs
hid_logitech_dj        28672  0
raid6_pq              122880  1 btrfs
libcrc32c              16384  1 btrfs
usbhid                 65536  2 hid_logitech_dj,hid_logitech_hidpp
dm_mirror              24576  0
dm_region_hash         24576  1 dm_mirror
dm_log                 20480  2 dm_region_hash,dm_mirror
i915                 3117056  38
i2c_algo_bit           16384  1 i915
ttm                    86016  1 i915
drm_kms_helper        311296  1 i915
syscopyarea            16384  1 drm_kms_helper
sysfillrect            20480  1 drm_kms_helper
crct10dif_pclmul       16384  1
sysimgblt              16384  1 drm_kms_helper
crc32_pclmul           16384  0
fb_sys_fops            16384  1 drm_kms_helper
hid_generic            16384  0
ghash_clmulni_intel    16384  0
sha256_ssse3           32768  0
sha1_ssse3             32768  0
aesni_intel           376832  6
crypto_simd            16384  1 aesni_intel
cryptd                 24576  2 crypto_simd,ghash_clmulni_intel
cec                    61440  2 drm_kms_helper,i915
i2c_i801               36864  0
nvme                   49152  2
rc_core                65536  1 cec
i2c_smbus              20480  1 i2c_i801
xhci_pci               24576  0
i2c_hid_acpi           16384  0
nvme_core             135168  3 nvme
ahci                   49152  0
intel_lpss_pci         24576  0
drm                   622592  11 drm_kms_helper,i915,ttm
i2c_hid                36864  1 i2c_hid_acpi
xhci_pci_renesas       20480  1 xhci_pci
libahci                49152  1 ahci
intel_lpss             16384  1 intel_lpss_pci
idma64                 20480  0
wmi                    32768  2 hp_wmi,wmi_bmof
hid                   151552  6 i2c_hid,usbhid,hid_multitouch,hid_generic,hid_logitech_dj,hid_logitech_hidpp
video                  65536  1 i915

